SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
110,"Mantas,Devilfishes (NS)",Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,,,
115,"Torpedo,Atlantic",Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,,Torpedo nobiliana,
118,Chimaeras (NS),Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,,,
119,Chimaera,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,,Chimaera monstrosa,
120,"Chimaera,Longnose",Chordata,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,,Harriotta raleighana,
121,"Chimaera,Deepwater",Chordata,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,,Hydrolagus affinis,
122,"Chimaera,Knifenose",Chordata,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,,Rhinochimaera atlantica,
125,Bony Fish (NS),Chordata,Osteichthyes,,,,,
132,Sturgeons (NS),Chordata,Osteichthyes (Actinopterygii),Acipersiformes,Acipenseridae,,,
133,"Sturgeon,Shortnose",Chordata,Osteichthyes (Actinopterygii),Acipersiformes,Acipenseridae,,Acipenser brevirostrum,
134,"Sturgeon,Atlantic",Chordata,Osteichthyes (Actinopterygii),Acipersiformes,Acipenseridae,,Acipenser oxyrinchus,
146,Searsids (Tubeshoulders) (NS),Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Platytroctidae,,,
149,Herrings (NS),Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,,
150,"Herring,Atlantic",Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,Clupea harengus,
151,Alewife (Gasperaux),Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,Alosa pseudoharengus,
152,"Shad,American",Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,Alosa sapidissima,
153,"Herring,Blueback",Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,Alosa aestivalis,
155,"Menhaden, Atlantic",Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Clupeidae,,Brevoortia tyrannus,
160,Anchovies (NS),Chordata,Osteichthyes (Actinopterygii),Clupeiformes,Engraulidae,,,
164,Smoothheads (NS),Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Alepocephalidae,,,
171,"Salmon,Trouts (NS)",Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,,
173,"Salmon,Atlantic",Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Salmo salar,
